Using device: cpu

Running batch size: 16
Epoch 79: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1141, Val Acc: 0.9839
Epoch 80: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1141, Val Acc: 0.9838
Epoch 81: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1142, Val Acc: 0.9838
Epoch 82: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1143, Val Acc: 0.9838
Epoch 83: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1144, Val Acc: 0.9838
Epoch 84: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1146, Val Acc: 0.9839
Epoch 85: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1147, Val Acc: 0.9838
Epoch 86: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1147, Val Acc: 0.9839
Epoch 87: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1148, Val Acc: 0.9839
Epoch 88: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1149, Val Acc: 0.9839
Epoch 89: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1150, Val Acc: 0.9839
Epoch 90: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1151, Val Acc: 0.9840
Epoch 91: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1152, Val Acc: 0.9840
Epoch 92: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1153, Val Acc: 0.9840
Epoch 93: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1154, Val Acc: 0.9840
Epoch 94: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1154, Val Acc: 0.9840
Epoch 95: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1155, Val Acc: 0.9839
Epoch 96: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1156, Val Acc: 0.9839
Epoch 97: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1157, Val Acc: 0.9839
Epoch 98: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1158, Val Acc: 0.9839
Epoch 99: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1158, Val Acc: 0.9839
Epoch 100: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1159, Val Acc: 0.9839
Epoch 101: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1160, Val Acc: 0.9839
Epoch 102: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1161, Val Acc: 0.9839
Epoch 103: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1162, Val Acc: 0.9839
Epoch 104: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1163, Val Acc: 0.9839
Epoch 105: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1163, Val Acc: 0.9839
Epoch 106: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1164, Val Acc: 0.9839
Epoch 107: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1165, Val Acc: 0.9839
Epoch 108: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1165, Val Acc: 0.9839
Epoch 109: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1166, Val Acc: 0.9839
Epoch 110: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1167, Val Acc: 0.9840
Epoch 111: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1167, Val Acc: 0.9840
Epoch 112: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1168, Val Acc: 0.9840
Epoch 113: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1169, Val Acc: 0.9841
Epoch 114: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1169, Val Acc: 0.9841
Epoch 115: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1170, Val Acc: 0.9841
Epoch 116: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1171, Val Acc: 0.9841
Epoch 117: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1172, Val Acc: 0.9841
Epoch 118: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1172, Val Acc: 0.9841
Epoch 119: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1173, Val Acc: 0.9841
Epoch 120: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1173, Val Acc: 0.9841
Epoch 121: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1174, Val Acc: 0.9841
Epoch 122: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1175, Val Acc: 0.9841
Epoch 123: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1175, Val Acc: 0.9841
Epoch 124: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1176, Val Acc: 0.9841
Epoch 125: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1176, Val Acc: 0.9841
Epoch 126: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1177, Val Acc: 0.9841
Epoch 127: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1177, Val Acc: 0.9841
Epoch 128: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1178, Val Acc: 0.9841
Epoch 129: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1179, Val Acc: 0.9841
Epoch 130: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1179, Val Acc: 0.9841
Epoch 131: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1180, Val Acc: 0.9841
Epoch 132: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1180, Val Acc: 0.9841
Epoch 133: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1181, Val Acc: 0.9841
Epoch 134: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1182, Val Acc: 0.9841
Epoch 135: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1182, Val Acc: 0.9840
Epoch 136: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1183, Val Acc: 0.9840
Epoch 137: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1183, Val Acc: 0.9840
Epoch 138: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1184, Val Acc: 0.9840
Epoch 139: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1184, Val Acc: 0.9840
Epoch 140: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1185, Val Acc: 0.9840
Epoch 141: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1185, Val Acc: 0.9840
Epoch 142: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1186, Val Acc: 0.9840
Epoch 143: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1186, Val Acc: 0.9840
Epoch 144: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1187, Val Acc: 0.9840
Epoch 145: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1187, Val Acc: 0.9840
Epoch 146: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1188, Val Acc: 0.9840
Epoch 147: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1188, Val Acc: 0.9840
Epoch 148: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1189, Val Acc: 0.9840
Epoch 149: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1190, Val Acc: 0.9840
Epoch 150: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1190, Val Acc: 0.9840
Epoch 151: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1191, Val Acc: 0.9840
Epoch 152: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1191, Val Acc: 0.9840
Epoch 153: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1192, Val Acc: 0.9840
Epoch 154: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1192, Val Acc: 0.9840
Epoch 155: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1193, Val Acc: 0.9840
Epoch 156: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1193, Val Acc: 0.9840
Epoch 157: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1193, Val Acc: 0.9840
Epoch 158: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1194, Val Acc: 0.9840
Epoch 159: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1195, Val Acc: 0.9840
Epoch 160: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1195, Val Acc: 0.9840
Epoch 161: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1195, Val Acc: 0.9840
